1763707931,902.000,1353.000,775.000
1763707936,914.000,1361.000,775.000
1763707941,908.000,1360.000,772.000
1763707946,908.000,1361.000,773.000
1763707951,909.000,1356.000,777.000
1763707956,901.000,1352.000,777.000
1763707961,901.000,1351.000,775.000
1763707966,910.000,1364.000,775.000
1763707971,907.000,1357.000,772.000
1763707974,907.000,1360.000,775.000
1763707979,908.000,1358.000,774.000
1763707984,899.000,1355.000,770.000
1763707989,911.000,1362.000,772.000
1763707994,909.000,1363.000,772.000
1763707999,906.000,1360.000,774.000
1763708004,901.000,1350.000,771.000
1763708009,914.000,1352.000,773.000
1763708014,905.000,1359.000,771.000
1763708019,911.000,1364.000,772.000
1763708024,909.000,1363.000,774.000
1763708029,905.000,1351.000,773.000
1763708034,907.000,1356.000,773.000
1763708039,902.000,1360.000,770.000
1763708044,909.000,1360.000,775.000
1763708049,913.000,1362.000,773.000
1763708054,903.000,1353.000,773.000
1763708059,908.000,1357.000,772.000
1763708064,905.000,1352.000,773.000
1763708069,910.000,1364.000,773.000
1763708074,909.000,1364.000,772.000
1763708079,910.000,1360.000,771.000
1763708084,904.000,1355.000,771.000
1763708089,904.000,1360.000,773.000
1763792307,916.000,471.000,860.000
1763792312,922.000,477.000,859.000
