1763707941,,,,0.00,,0,0
1763707946,,,,0.00,,0,0
1763707951,,,,0.00,,0,0
1763707956,,,,0.00,,0,0
1763707961,,,,0.00,,0,0
1763707966,,,,0.00,,0,0
1763707971,,,,0.00,,0,0
1763707974,,,,0.00,,0,0
1763707979,,,,0.00,,0,0
1763707984,,,,0.00,,0,0
1763707989,,,,0.00,,0,0
1763707994,,,,0.00,,0,0
1763707999,,,,0.00,,0,0
1763708004,,,,0.00,,0,0
1763708009,,,,0.00,,0,0
1763708014,,,,0.00,,0,0
1763708019,,,,0.00,,0,0
1763708024,,,,0.00,,0,0
1763708029,,,,0.00,,0,0
1763708034,,,,0.00,,0,0
1763708039,,,,0.00,,0,0
1763708044,,,,0.00,,0,0
1763708049,,,,0.00,,0,0
1763708054,,,,0.00,,0,0
1763708059,,,,0.00,,0,0
1763708064,,,,0.00,,0,0
1763708069,,,,0.00,,0,0
1763708074,,,,0.00,,0,0
1763708079,,,,0.00,,0,0
1763708084,,,,0.00,,0,5
1763708089,,,,0.00,,0,0
1763792307,,,,0.00,,0,0
1763792312,,,,0.00,,0,0
