1763707916,47,87,-0.041,-0.001,0.011,-0.089,-0.113,10.068,-18.900,-23.700,48.150,24.562,21.625,24.975,983.751,29.465,167240,258888,10715540,19450392,28.4,54.230,11.687,0.970,0.828,2.958,0.054,0.217,5.322,0.953,28.384,51.363
1763707921,48,87,-0.038,0.000,0.007,-0.091,-0.146,10.104,-18.750,-22.050,48.750,24.562,21.625,24.973,983.746,29.437,167212,258916,10715024,19450908,26.4,52.616,11.687,0.968,0.827,2.960,0.054,0.213,5.322,0.951,28.019,51.206
1763707926,49,87,-0.035,0.001,0.011,-0.103,-0.096,10.092,-18.600,-22.650,49.650,24.562,21.625,24.974,983.749,29.443,220472,205656,10715024,19450908,35.1,55.844,11.704,0.966,1.054,2.961,0.061,0.265,5.333,0.950,27.966,51.154
1763707931,50,87,-0.037,-0.001,0.013,-0.091,-0.108,10.089,-19.500,-23.250,48.000,24.562,21.625,24.973,983.745,29.459,216664,209464,10717164,19448768,35.2,55.844,11.732,0.968,0.947,2.965,0.059,0.270,5.328,0.951,27.862,51.415
1763707936,51,87,-0.042,-0.001,0.008,-0.113,-0.134,10.060,-18.000,-22.800,48.750,24.562,21.625,24.974,983.760,29.454,168476,257652,10717200,19448732,27.5,55.844,11.687,0.968,0.835,2.965,0.066,0.215,5.328,0.953,28.071,51.311
1763707941,52,87,-0.041,0.001,0.005,-0.048,-0.101,10.068,-18.150,-22.950,48.600,24.500,21.625,24.974,983.770,29.459,169240,256888,10714928,19451004,27.6,54.768,11.709,0.969,0.830,2.957,0.054,0.214,5.328,0.951,27.601,51.102
1763707946,53,87,-0.034,0.001,0.013,-0.113,-0.055,10.072,-19.350,-22.650,48.900,24.500,21.625,24.974,983.763,29.448,165300,260828,10714768,19451164,26.6,53.692,11.738,0.969,0.841,2.961,0.061,0.211,5.328,0.953,28.228,51.415
1763707951,54,87,-0.039,-0.002,0.006,-0.069,-0.129,10.092,-18.600,-22.200,48.150,24.562,21.625,24.975,983.762,29.459,218192,207936,10714252,19451680,45.4,53.154,11.687,0.966,1.089,2.958,0.049,0.303,5.333,0.951,28.280,51.676
1763707956,55,87,-0.034,0.001,0.006,-0.117,-0.098,10.060,-17.700,-24.000,48.300,24.562,21.562,24.974,983.764,29.448,216008,210120,10714252,19451680,37.7,56.382,11.715,0.967,0.940,2.958,0.069,0.246,5.333,0.951,28.071,51.311
1763707961,56,87,-0.036,0.001,0.011,-0.079,-0.105,10.068,-21.000,-22.800,48.300,24.562,21.625,24.974,983.755,29.454,214104,212024,10717084,19448848,34.2,56.920,11.738,0.966,1.077,2.969,0.061,0.257,5.339,0.950,28.228,51.415
